Acre                  AC
Alagoas               AL
Amapá                 AP
Amazonas              AM
Bahia                 BA
Ceará                 CE
Distrito Federal      DF
Goiás                 GO
Espírito Santo        ES
Maranhão              MA
Mato Grosso           MT
Mato Grosso do Sul    MS
Minas Gerais          MG
Pará                  PA
Paraiba               PB
Paraná                PR 
Pernambuco            PE
Piauí                 PI
Rio de Janeiro        RJ
Rio Grande do Norte   RN
Rio Grande do Sul     RS
Rondônia              RO
Rorâima               RR
São Paulo             SP
Santa Catarina        SC
Sergipe               SE
Tocantins             TO
